an,ci,:2180734.000000
an,n,:6330.000000
chn,ci,:441308.000000
ci,mc,:2333029.000000
ci,mi,:341949.000000
ci,mk,:4045204.000000
ci,n,:6337.000000
ci,rt,:27067.000000
ci,t,:139184.000000
cn,mc,:944850.000000
it,mi,:3384.000000
k,mk,:101.000000
mc,mi,:1923578.000000
mc,mk,:22755610.000000
mc,t,:402505.000000
mi,mk,:4656225.000000
mi,t,:58995.000000
mk,t,:697897.000000
an,chn,ci,:883670.000000
an,ci,mc,:4671630.000000
an,ci,mi,:684715.000000
an,ci,mk,:8100069.000000
an,ci,n,:12688.000000
an,ci,rt,:54198.000000
an,ci,t,:278701.000000
chn,ci,mc,:2071947.000000
chn,ci,mi,:303683.000000
chn,ci,mk,:3592518.000000
chn,ci,n,:5627.000000
chn,ci,rt,:24038.000000
chn,ci,t,:123609.000000
ci,cn,mc,:560612.000000
ci,mc,mi,:1141324.000000
ci,mc,mk,:13501678.000000
ci,mc,n,:10873.000000
ci,mc,rt,:46443.000000
ci,mc,t,:238820.000000
ci,it,mi,:1184.000000
ci,mi,mk,:1628912.000000
ci,mi,n,:940.000000
ci,mi,rt,:4013.000000
ci,mi,t,:20638.000000
ci,k,mk,:102.000000
ci,mk,n,:32135.000000
ci,mk,rt,:137264.000000
ci,mk,t,:705850.000000
ci,n,rt,:197.000000
ci,n,t,:1011.000000
ci,rt,t,:42604.000000
cn,mc,mi,:850637.000000
cn,mc,mk,:10062890.000000
cn,mc,t,:177994.000000
it,mc,mi,:1515268.000000
it,mi,mk,:3667868.000000
it,mi,t,:46472.000000
k,mc,mk,:48771.000000
k,mi,mk,:9980.000000
k,mk,t,:1496.000000
mc,mi,mk,:5640588.000000
mc,mi,t,:71467.000000
mc,mk,t,:5378340.000000
mi,mk,t,:147303.000000
an,chn,ci,mc,:4479402.000000
an,chn,ci,mi,:656541.000000
an,chn,ci,mk,:7766768.000000
an,chn,ci,n,:12166.000000
an,chn,ci,rt,:51968.000000
an,chn,ci,t,:267233.000000
an,ci,cn,mc,:1296055.000000
an,ci,mc,mi,:2638581.000000
an,ci,mc,mk,:31213981.000000
an,ci,mc,n,:25136.000000
an,ci,mc,rt,:107369.000000
an,ci,mc,t,:552118.000000
an,ci,it,mi,:2466.000000
an,ci,mi,mk,:3392805.000000
an,ci,mi,n,:1957.000000
an,ci,mi,rt,:8360.000000
an,ci,mi,t,:42987.000000
an,ci,k,mk,:212.000000
an,ci,mk,n,:66576.000000
an,ci,mk,rt,:284379.000000
an,ci,mk,t,:1462350.000000
an,ci,n,rt,:246.000000
an,ci,n,t,:1266.000000
an,ci,rt,t,:77675.000000
chn,ci,cn,mc,:508927.000000
chn,ci,mc,mi,:1036102.000000
chn,ci,mc,mk,:12256914.000000
chn,ci,mc,n,:9870.000000
chn,ci,mc,rt,:42161.000000
chn,ci,mc,t,:216802.000000
chn,ci,it,mi,:1122.000000
chn,ci,mi,mk,:1543560.000000
chn,ci,mi,n,:890.000000
chn,ci,mi,rt,:3803.000000
chn,ci,mi,t,:19557.000000
chn,ci,k,mk,:94.000000
chn,ci,mk,n,:29642.000000
chn,ci,mk,rt,:126614.000000
chn,ci,mk,t,:651083.000000
chn,ci,n,rt,:171.000000
chn,ci,n,t,:877.000000
chn,ci,rt,t,:39439.000000
ci,cn,mc,mi,:495206.000000
ci,cn,mc,mk,:5858203.000000
ci,cn,mc,n,:4718.000000
ci,cn,mc,rt,:20151.000000
ci,cn,mc,t,:103621.000000
ci,it,mc,mi,:4308.000000
ci,mc,mi,mk,:5927389.000000
ci,mc,mi,n,:3419.000000
ci,mc,mi,rt,:14605.000000
