cc,cct1,:8781.000000
cc,cct2,:4053.000000
cc,mc,:328488.000000
cc,mi,:35643.000000
cc,mk,:6094315.000000
cc,ml,:47888.000000
cc,t,:2607.000000
cn,mc,:279135.000000
ct,mc,:37840.000000
k,mk,:34.000000
lt,ml,:150.000000
mc,mi,:238389.000000
mc,mk,:11000821.000000
mc,ml,:72944.000000
mc,t,:24344.000000
mi,mk,:1193640.000000
mi,ml,:7912.000000
mi,t,:1892.000000
mk,ml,:1352182.000000
mk,t,:87312.000000
ml,t,:579.000000
cc,cct1,cct2,:4053.000000
cc,cct1,mc,:328488.000000
cc,cct1,mi,:35643.000000
cc,cct1,mk,:6094315.000000
cc,cct1,ml,:47888.000000
cc,cct1,t,:2607.000000
cc,cct2,mc,:268688.000000
cc,cct2,mi,:29154.000000
cc,cct2,mk,:4984863.000000
cc,cct2,ml,:39170.000000
cc,cct2,t,:2133.000000
cc,cn,mc,:35265.000000
cc,ct,mc,:4781.000000
cc,mc,mi,:30118.000000
cc,mc,mk,:1389820.000000
cc,mc,ml,:9216.000000
cc,mc,t,:3076.000000
cc,mi,mk,:210592.000000
cc,mi,ml,:1396.000000
cc,mi,t,:334.000000
cc,k,mk,:16.000000
cc,mk,ml,:649012.000000
cc,mk,t,:41907.000000
cc,lt,ml,:24.000000
cc,ml,t,:94.000000
cn,ct,mc,:7699.000000
cn,mc,mi,:48503.000000
cn,mc,mk,:2238225.000000
cn,mc,ml,:14841.000000
cn,mc,t,:4953.000000
ct,mc,mi,:225648.000000
ct,mc,mk,:10412885.000000
ct,mc,ml,:69045.000000
ct,mc,t,:23043.000000
k,mc,mk,:25640.000000
k,mi,mk,:2782.000000
k,mk,ml,:3152.000000
k,mk,t,:203.000000
lt,mc,ml,:5629.000000
lt,mi,ml,:611.000000
lt,mk,ml,:104354.000000
lt,ml,t,:45.000000
mc,mi,mk,:1256913.000000
mc,mi,ml,:8334.000000
mc,mi,t,:2781.000000
mc,mk,ml,:2008345.000000
mc,mk,t,:129681.000000
mc,ml,t,:830.000000
mi,mk,ml,:156519.000000
mi,mk,t,:10107.000000
mi,ml,t,:64.000000
mk,ml,t,:5562.000000
cc,cct1,cct2,mc,:268688.000000
cc,cct1,cct2,mi,:29154.000000
cc,cct1,cct2,mk,:4984863.000000
cc,cct1,cct2,ml,:39170.000000
cc,cct1,cct2,t,:2133.000000
cc,cct1,cn,mc,:35265.000000
cc,cct1,ct,mc,:4781.000000
cc,cct1,mc,mi,:30118.000000
cc,cct1,mc,mk,:1389820.000000
cc,cct1,mc,ml,:9216.000000
cc,cct1,mc,t,:3076.000000
cc,cct1,mi,mk,:210592.000000
cc,cct1,mi,ml,:1396.000000
cc,cct1,mi,t,:334.000000
cc,cct1,k,mk,:16.000000
cc,cct1,mk,ml,:649012.000000
cc,cct1,mk,t,:41907.000000
cc,cct1,lt,ml,:24.000000
cc,cct1,ml,t,:94.000000
cc,cct2,cn,mc,:27704.000000
cc,cct2,ct,mc,:3756.000000
cc,cct2,mc,mi,:23660.000000
cc,cct2,mc,mk,:1091814.000000
cc,cct2,mc,ml,:7240.000000
cc,cct2,mc,t,:2416.000000
cc,cct2,mi,mk,:176671.000000
cc,cct2,mi,ml,:1171.000000
cc,cct2,mi,t,:280.000000
cc,cct2,k,mk,:9.000000
cc,cct2,mk,ml,:343001.000000
cc,cct2,mk,t,:22148.000000
cc,cct2,lt,ml,:17.000000
cc,cct2,ml,t,:65.000000
cc,cn,ct,mc,:1077.000000
cc,cn,mc,mi,:6783.000000
cc,cn,mc,mk,:313016.000000
cc,cn,mc,ml,:2076.000000
cc,cn,mc,t,:693.000000
cc,ct,mc,mi,:27004.000000
cc,ct,mc,mk,:1246133.000000
cc,ct,mc,ml,:8263.000000
cc,ct,mc,t,:2758.000000
cc,mc,mi,mk,:233667.000000
cc,mc,mi,ml,:1549.000000
cc,mc,mi,t,:517.000000
cc,k,mc,mk,:26.000000
cc,mc,mk,ml,:1058838.000000
cc,mc,mk,t,:68371.000000
cc,lt,mc,ml,:52.000000
cc,mc,ml,t,:201.000000
cc,k,mi,mk,:3.000000
cc,mi,mk,ml,:101626.000000
cc,mi,mk,t,:6562.000000
cc,lt,mi,ml,:2.000000
cc,mi,ml,t,:7.000000
cc,k,mk,ml,:976.000000
cc,k,mk,t,:63.000000
