cc,cct1,:4053.000000
cc,cct2,:4053.000000
cc,ci,:157497.000000
cc,mi,:65285.000000
cc,mi_idx,:391763.000000
cc,mk,:6094315.000000
cc,t,:135086.000000
ci,mi,:209354.000000
ci,mi_idx,:1608989.000000
ci,mk,:5274470.000000
ci,n,:493693.000000
ci,t,:1176394.000000
it1,mi,:1589.000000
it2,mi_idx,:12213.000000
k,mk,:236.000000
mi,mi_idx,:520753.000000
mi,mk,:2186332.000000
mi,t,:179564.000000
mi_idx,mk,:13119842.000000
mi_idx,t,:1380035.000000
mk,t,:4523930.000000
cc,cct1,cct2,:2578.000000
cc,cct1,ci,:100199.000000
cc,cct1,mi,:41534.000000
cc,cct1,mi_idx,:249237.000000
cc,cct1,mk,:3877171.000000
cc,cct1,t,:85941.000000
cc,cct2,ci,:28672.000000
cc,cct2,mi,:11885.000000
cc,cct2,mi_idx,:71319.000000
cc,cct2,mk,:1109452.000000
cc,cct2,t,:24592.000000
cc,ci,mi,:20783.000000
cc,ci,mi_idx,:159725.000000
cc,ci,mk,:523598.000000
cc,ci,n,:49009.000000
cc,ci,t,:116781.000000
cc,it1,mi,:329.000000
cc,mi,mi_idx,:107771.000000
cc,mi,mk,:452464.000000
cc,mi,t,:37161.000000
cc,it2,mi_idx,:2536.000000
cc,mi_idx,mk,:2724665.000000
cc,mi_idx,t,:286599.000000
cc,k,mk,:113.000000
cc,mk,t,:2171367.000000
ci,it1,mi,:841.000000
ci,mi,mi_idx,:275741.000000
ci,mi,mk,:1157673.000000
ci,mi,n,:39902.000000
ci,mi,t,:95080.000000
ci,it2,mi_idx,:8857.000000
ci,mi_idx,mk,:9515143.000000
ci,mi_idx,n,:420031.000000
ci,mi_idx,t,:1000868.000000
ci,k,mk,:137.000000
ci,mk,n,:1099200.000000
ci,mk,t,:2619220.000000
ci,n,t,:558518.000000
it1,mi,mi_idx,:541141.000000
it1,mi,mk,:2271927.000000
it1,mi,t,:186594.000000
it2,mi,mi_idx,:173552.000000
it2,mi_idx,mk,:4372457.000000
it2,mi_idx,t,:459925.000000
k,mi,mk,:37074.000000
k,mi_idx,mk,:222478.000000
k,mk,t,:76714.000000
mi,mi_idx,mk,:3836893.000000
mi,mi_idx,t,:315125.000000
mi,mk,t,:2615599.000000
mi_idx,mk,t,:10424626.000000
cc,cct1,cct2,ci,:20845.000000
cc,cct1,cct2,mi,:8641.000000
cc,cct1,cct2,mi_idx,:51851.000000
cc,cct1,cct2,mk,:806599.000000
cc,cct1,cct2,t,:17879.000000
cc,cct1,ci,mi,:12573.000000
cc,cct1,ci,mi_idx,:96627.000000
cc,cct1,ci,mk,:316757.000000
cc,cct1,ci,n,:29649.000000
cc,cct1,ci,t,:70648.000000
cc,cct1,it1,mi,:233.000000
cc,cct1,mi,mi_idx,:76455.000000
cc,cct1,mi,mk,:320990.000000
cc,cct1,mi,t,:26363.000000
cc,cct1,it2,mi_idx,:1636.000000
cc,cct1,mi_idx,mk,:1757843.000000
cc,cct1,mi_idx,t,:184902.000000
cc,cct1,k,mk,:75.000000
cc,cct1,mk,t,:1436647.000000
cc,cct2,ci,mi,:2765.000000
cc,cct2,ci,mi_idx,:21250.000000
cc,cct2,ci,mk,:69662.000000
cc,cct2,ci,n,:6520.000000
cc,cct2,ci,t,:15537.000000
cc,cct2,it1,mi,:140.000000
cc,cct2,mi,mi_idx,:46030.000000
cc,cct2,mi,mk,:193254.000000
cc,cct2,mi,t,:15872.000000
cc,cct2,it2,mi_idx,:628.000000
cc,cct2,mi_idx,mk,:675094.000000
cc,cct2,mi_idx,t,:71011.000000
cc,cct2,k,mk,:53.000000
cc,cct2,mk,t,:1023805.000000
cc,ci,it1,mi,:220.000000
cc,ci,mi,mi_idx,:72181.000000
cc,ci,mi,mk,:303043.000000
cc,ci,mi,n,:10445.000000
cc,ci,mi,t,:24889.000000
cc,ci,it2,mi_idx,:2117.000000
cc,ci,mi_idx,mk,:2274124.000000
cc,ci,mi_idx,n,:100388.000000
cc,ci,mi_idx,t,:239208.000000
cc,ci,k,mk,:79.000000
cc,ci,mk,n,:636580.000000
cc,ci,mk,t,:1516871.000000
cc,ci,n,t,:54189.000000
cc,it1,mi,mi_idx,:98403.000000
cc,it1,mi,mk,:413136.000000
cc,it1,mi,t,:33931.000000
cc,it2,mi,mi_idx,:966.000000
cc,mi,mi_idx,mk,:1329559.000000
cc,mi,mi_idx,t,:109197.000000
cc,k,mi,mk,:101.000000
cc,mi,mk,t,:1937088.000000
cc,it2,mi_idx,mk,:906948.000000
cc,it2,mi_idx,t,:95399.000000
cc,k,mi_idx,mk,:335.000000
