cn1,mc1,:944850.000000
cn2,mc2,:2609129.000000
it1,mi_idx1,:12213.000000
it2,mi_idx2,:5992.000000
kt1,t1,:75845.000000
kt2,t2,:13432.000000
lt,ml,:2850.000000
mc1,mi_idx1,:6941650.000000
mc1,ml,:150887.000000
mc1,t1,:2609129.000000
mc2,mi_idx2,:3405809.000000
mc2,ml,:150887.000000
mc2,t2,:462080.000000
mi_idx1,ml,:86994.000000
mi_idx1,t1,:1380035.000000
mi_idx2,ml,:42682.000000
mi_idx2,t2,:119914.000000
ml,t1,:29997.000000
ml,t2,:5313.000000
cn1,mc1,mi_idx1,:3069707.000000
cn1,mc1,ml,:66724.000000
cn1,mc1,t1,:1153798.000000
cn2,mc2,mi_idx2,:3405809.000000
cn2,mc2,ml,:150887.000000
cn2,mc2,t2,:462080.000000
it1,mc1,mi_idx1,:2313447.000000
it1,mi_idx1,ml,:28993.000000
it1,mi_idx1,t1,:459925.000000
it2,mc2,mi_idx2,:128724.000000
it2,mi_idx2,ml,:1613.000000
it2,mi_idx2,t2,:4532.000000
kt1,mc1,t1,:93761.000000
kt1,mi_idx1,t1,:49593.000000
kt1,ml,t1,:1078.000000
kt2,mc2,t2,:16313.000000
kt2,mi_idx2,t2,:4233.000000
kt2,ml,t2,:188.000000
lt,mc1,ml,:11645.000000
lt,mc2,ml,:11645.000000
lt,mi_idx1,ml,:6714.000000
lt,mi_idx2,ml,:3294.000000
lt,ml,t1,:2315.000000
lt,ml,t2,:410.000000
mc1,mi_idx1,ml,:256758.000000
mc1,mi_idx1,t1,:4073078.000000
mc1,mc2,ml,:745026.000000
mc1,mi_idx2,ml,:210751.000000
mc1,ml,t1,:148115.000000
mc1,ml,t2,:26231.000000
mc2,mi_idx2,ml,:124491.000000
mc2,mi_idx2,t2,:349751.000000
mc2,mi_idx1,ml,:1010432.000000
mc2,ml,t1,:348413.000000
mc2,ml,t2,:61704.000000
mi_idx1,mi_idx2,ml,:89172.000000
mi_idx1,ml,t1,:62670.000000
mi_idx1,ml,t2,:11099.000000
mi_idx2,ml,t1,:37967.000000
mi_idx2,ml,t2,:6724.000000
ml,t1,t2,:5313.000000
cn1,it1,mc1,mi_idx1,:15422.000000
cn1,mc1,mi_idx1,ml,:109856.000000
cn1,mc1,mi_idx1,t1,:1742698.000000
cn1,lt,mc1,ml,:5687.000000
cn1,mc1,mc2,ml,:301089.000000
cn1,mc1,mi_idx2,ml,:85171.000000
cn1,mc1,ml,t1,:59858.000000
cn1,mc1,ml,t2,:10601.000000
cn1,kt1,mc1,t1,:34614.000000
cn2,it2,mc2,mi_idx2,:17477.000000
cn2,mc2,mi_idx2,ml,:124491.000000
cn2,mc2,mi_idx2,t2,:349751.000000
cn2,lt,mc2,ml,:33099.000000
cn2,mc1,mc2,ml,:1752536.000000
cn2,mc2,mi_idx1,ml,:1010432.000000
cn2,mc2,ml,t1,:348413.000000
cn2,mc2,ml,t2,:61704.000000
cn2,kt2,mc2,t2,:11777.000000
it1,mc1,mi_idx1,ml,:85409.000000
it1,mc1,mi_idx1,t1,:1354883.000000
it1,lt,mi_idx1,ml,:1985.000000
it1,mc2,mi_idx1,ml,:105078.000000
it1,mi_idx1,mi_idx2,ml,:29724.000000
it1,mi_idx1,ml,t1,:20890.000000
it1,mi_idx1,ml,t2,:3700.000000
it1,kt1,mi_idx1,t1,:13798.000000
it2,mc2,mi_idx2,ml,:3091.000000
it2,mc2,mi_idx2,t2,:8685.000000
it2,lt,mi_idx2,ml,:103.000000
it2,mc1,mi_idx2,ml,:5458.000000
it2,mi_idx1,mi_idx2,ml,:3147.000000
it2,mi_idx2,ml,t1,:1085.000000
it2,mi_idx2,ml,t2,:192.000000
it2,kt2,mi_idx2,t2,:193.000000
kt1,mc1,mi_idx1,t1,:106037.000000
kt1,mc1,ml,t1,:2305.000000
kt1,mi_idx1,ml,t1,:1341.000000
kt1,lt,ml,t1,:1174.000000
kt1,mc2,ml,t1,:62171.000000
kt1,mi_idx2,ml,t1,:17587.000000
kt1,ml,t1,t2,:2189.000000
kt2,mc2,mi_idx2,t2,:10305.000000
kt2,mc2,ml,t2,:457.000000
kt2,mi_idx2,ml,t2,:134.000000
kt2,lt,ml,t2,:101.000000
kt2,mc1,ml,t2,:5372.000000
kt2,mi_idx1,ml,t2,:3097.000000
