cn1,mc1,:27746.000000
cn2,mc2,:2609129.000000
it1,mi_idx1,:12213.000000
it2,mi_idx2,:5992.000000
kt1,t1,:75845.000000
kt2,t2,:3668.000000
lt,ml,:150.000000
mc1,mi_idx1,:6941650.000000
mc1,ml,:150887.000000
mc1,t1,:2609129.000000
mc2,mi_idx2,:3405809.000000
mc2,ml,:150887.000000
mc2,t2,:126195.000000
mi_idx1,ml,:86994.000000
mi_idx1,t1,:1380035.000000
mi_idx2,ml,:42682.000000
mi_idx2,t2,:32749.000000
ml,t1,:29997.000000
ml,t2,:1451.000000
cn1,mc1,mi_idx1,:150080.000000
cn1,mc1,ml,:3262.000000
cn1,mc1,t1,:56410.000000
cn2,mc2,mi_idx2,:3405809.000000
cn2,mc2,ml,:150887.000000
cn2,mc2,t2,:126195.000000
it1,mc1,mi_idx1,:2313447.000000
it1,mi_idx1,ml,:28993.000000
it1,mi_idx1,t1,:459925.000000
it2,mc2,mi_idx2,:128724.000000
it2,mi_idx2,ml,:1613.000000
it2,mi_idx2,t2,:1238.000000
kt1,mc1,t1,:93761.000000
kt1,mi_idx1,t1,:49593.000000
kt1,ml,t1,:1078.000000
kt2,mc2,t2,:4188.000000
kt2,mi_idx2,t2,:1087.000000
kt2,ml,t2,:48.000000
lt,mc1,ml,:11645.000000
lt,mc2,ml,:11645.000000
lt,mi_idx1,ml,:6714.000000
lt,mi_idx2,ml,:3294.000000
lt,ml,t1,:2315.000000
lt,ml,t2,:112.000000
mc1,mi_idx1,ml,:256758.000000
mc1,mi_idx1,t1,:4073078.000000
mc1,mc2,ml,:745026.000000
mc1,mi_idx2,ml,:210751.000000
mc1,ml,t1,:148115.000000
mc1,ml,t2,:7164.000000
mc2,mi_idx2,ml,:124491.000000
mc2,mi_idx2,t2,:95518.000000
mc2,mi_idx1,ml,:1010432.000000
mc2,ml,t1,:348413.000000
mc2,ml,t2,:16852.000000
mi_idx1,mi_idx2,ml,:89172.000000
mi_idx1,ml,t1,:62670.000000
mi_idx1,ml,t2,:3031.000000
mi_idx2,ml,t1,:37967.000000
mi_idx2,ml,t2,:1836.000000
ml,t1,t2,:1451.000000
cn1,it1,mc1,mi_idx1,:1164.000000
cn1,mc1,mi_idx1,ml,:8290.000000
cn1,mc1,mi_idx1,t1,:131515.000000
cn1,lt,mc1,ml,:70.000000
cn1,mc1,mc2,ml,:70506.000000
cn1,mc1,mi_idx2,ml,:19945.000000
cn1,mc1,ml,t1,:14017.000000
cn1,mc1,ml,t2,:678.000000
cn1,kt1,mc1,t1,:1692.000000
cn2,it2,mc2,mi_idx2,:17477.000000
cn2,mc2,mi_idx2,ml,:124491.000000
cn2,mc2,mi_idx2,t2,:95518.000000
cn2,lt,mc2,ml,:1742.000000
cn2,mc1,mc2,ml,:1752536.000000
cn2,mc2,mi_idx1,ml,:1010432.000000
cn2,mc2,ml,t1,:348413.000000
cn2,mc2,ml,t2,:16852.000000
cn2,kt2,mc2,t2,:3015.000000
it1,mc1,mi_idx1,ml,:85409.000000
it1,mc1,mi_idx1,t1,:1354883.000000
it1,lt,mi_idx1,ml,:104.000000
it1,mc2,mi_idx1,ml,:105078.000000
it1,mi_idx1,mi_idx2,ml,:29724.000000
it1,mi_idx1,ml,t1,:20890.000000
it1,mi_idx1,ml,t2,:1010.000000
it1,kt1,mi_idx1,t1,:13798.000000
it2,mc2,mi_idx2,ml,:3091.000000
it2,mc2,mi_idx2,t2,:2372.000000
it2,lt,mi_idx2,ml,:5.000000
it2,mc1,mi_idx2,ml,:5458.000000
it2,mi_idx1,mi_idx2,ml,:3147.000000
it2,mi_idx2,ml,t1,:1085.000000
it2,mi_idx2,ml,t2,:52.000000
it2,kt2,mi_idx2,t2,:46.000000
kt1,mc1,mi_idx1,t1,:106037.000000
kt1,mc1,ml,t1,:2305.000000
kt1,mi_idx1,ml,t1,:1341.000000
kt1,lt,ml,t1,:62.000000
kt1,mc2,ml,t1,:62171.000000
kt1,mi_idx2,ml,t1,:17587.000000
kt1,ml,t1,t2,:598.000000
kt2,mc2,mi_idx2,t2,:2606.000000
kt2,mc2,ml,t2,:115.000000
kt2,mi_idx2,ml,t2,:33.000000
kt2,lt,ml,t2,:1.000000
kt2,mc1,ml,t2,:1363.000000
kt2,mi_idx1,ml,t2,:786.000000
kt2,ml,t1,t2,:271.000000
lt,mc1,mc2,ml,:50793.000000
lt,mc1,mi_idx1,ml,:29285.000000
lt,mc1,mi_idx2,ml,:14368.000000
lt,mc1,ml,t1,:10098.000000
lt,mc1,ml,t2,:488.000000
