cn1,mc1,:1664279.000000
cn2,mc2,:2609129.000000
it1,mi_idx1,:12213.000000
it2,mi_idx2,:6107.000000
kt1,t1,:164332.000000
kt2,t2,:67927.000000
lt,ml,:2850.000000
mc1,mi_idx1,:6941650.000000
mc1,ml,:150887.000000
mc1,t1,:2609129.000000
mc2,mi_idx2,:3471310.000000
mc2,ml,:150887.000000
mc2,t2,:1078496.000000
mi_idx1,ml,:86994.000000
mi_idx1,t1,:1380035.000000
mi_idx2,ml,:43503.000000
mi_idx2,t2,:285262.000000
ml,t1,:29997.000000
ml,t2,:12399.000000
cn1,mc1,mi_idx1,:3871943.000000
cn1,mc1,ml,:84162.000000
cn1,mc1,t1,:1455331.000000
cn2,mc2,mi_idx2,:3471310.000000
cn2,mc2,ml,:150887.000000
cn2,mc2,t2,:1078496.000000
it1,mc1,mi_idx1,:2313447.000000
it1,mi_idx1,ml,:28993.000000
it1,mi_idx1,t1,:459925.000000
it2,mc2,mi_idx2,:184849.000000
it2,mi_idx2,ml,:2317.000000
it2,mi_idx2,t2,:15190.000000
kt1,mc1,t1,:1686438.000000
kt1,mi_idx1,t1,:892000.000000
kt1,ml,t1,:19389.000000
kt2,mc2,t2,:762373.000000
kt2,mi_idx2,t2,:201647.000000
kt2,ml,t2,:8765.000000
lt,mc1,ml,:11645.000000
lt,mc2,ml,:11645.000000
lt,mi_idx1,ml,:6714.000000
lt,mi_idx2,ml,:3357.000000
lt,ml,t1,:2315.000000
lt,ml,t2,:957.000000
mc1,mi_idx1,ml,:256758.000000
mc1,mi_idx1,t1,:4073078.000000
mc1,mc2,ml,:745026.000000
mc1,mi_idx2,ml,:214804.000000
mc1,ml,t1,:148115.000000
mc1,ml,t2,:61224.000000
mc2,mi_idx2,ml,:133401.000000
mc2,mi_idx2,t2,:874746.000000
mc2,mi_idx1,ml,:1010432.000000
mc2,ml,t1,:348413.000000
mc2,ml,t2,:144018.000000
mi_idx1,mi_idx2,ml,:90887.000000
mi_idx1,ml,t1,:62670.000000
mi_idx1,ml,t2,:25905.000000
mi_idx2,ml,t1,:40483.000000
mi_idx2,ml,t2,:16734.000000
ml,t1,t2,:12399.000000
cn1,it1,mc1,mi_idx1,:20623.000000
cn1,mc1,mi_idx1,ml,:146902.000000
cn1,mc1,mi_idx1,t1,:2330380.000000
cn1,lt,mc1,ml,:8384.000000
cn1,mc1,mc2,ml,:443937.000000
cn1,mc1,mi_idx2,ml,:127995.000000
cn1,mc1,ml,t1,:88257.000000
cn1,mc1,ml,t2,:36481.000000
cn1,kt1,mc1,t1,:94597.000000
cn2,it2,mc2,mi_idx2,:18728.000000
cn2,mc2,mi_idx2,ml,:133401.000000
cn2,mc2,mi_idx2,t2,:874746.000000
cn2,lt,mc2,ml,:33099.000000
cn2,mc1,mc2,ml,:1752536.000000
cn2,mc2,mi_idx1,ml,:1010432.000000
cn2,mc2,ml,t1,:348413.000000
cn2,mc2,ml,t2,:144018.000000
cn2,kt2,mc2,t2,:59959.000000
it1,mc1,mi_idx1,ml,:85409.000000
it1,mc1,mi_idx1,t1,:1354883.000000
it1,lt,mi_idx1,ml,:1985.000000
it1,mc2,mi_idx1,ml,:105078.000000
it1,mi_idx1,mi_idx2,ml,:30296.000000
it1,mi_idx1,ml,t1,:20890.000000
it1,mi_idx1,ml,t2,:8635.000000
it1,kt1,mi_idx1,t1,:29895.000000
it2,mc2,mi_idx2,ml,:4811.000000
it2,mc2,mi_idx2,t2,:31544.000000
it2,lt,mi_idx2,ml,:143.000000
it2,mc1,mi_idx2,ml,:7570.000000
it2,mi_idx1,mi_idx2,ml,:4365.000000
it2,mi_idx2,ml,t1,:1505.000000
it2,mi_idx2,ml,t2,:622.000000
it2,kt2,mi_idx2,t2,:1288.000000
kt1,mc1,mi_idx1,t1,:497588.000000
kt1,mc1,ml,t1,:10816.000000
kt1,mi_idx1,ml,t1,:6393.000000
kt1,lt,ml,t1,:2850.000000
kt1,mc2,ml,t1,:150887.000000
kt1,mi_idx2,ml,t1,:43503.000000
kt1,ml,t1,t2,:12399.000000
kt2,mc2,mi_idx2,t2,:91935.000000
kt2,mc2,ml,t2,:3996.000000
kt2,mi_idx2,ml,t2,:1393.000000
kt2,lt,ml,t2,:602.000000
kt2,mc1,ml,t2,:31850.000000
kt2,mi_idx1,ml,t2,:18363.000000
